member_id,household_id,primary_member_id,primary_member_name,full_name,date_of_birth,gender,physical_address,region,district,nwsc_area,town_or_ward,member_marker,relationship_to_primary,seniority_level,job_title,organisation_unit,synthetic_record
NWSC-MEM-000001,NWSC-HH-000001,NWSC-MEM-000001,Moses Nsubuga,Moses Nsubuga,1999-10-30,Male,"Plot 821, High Street, Namanve, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Namanve,PRIMARY,,Professional/Officer,Procurement Officer,Kampala Water,TRUE
NWSC-MEM-000002,NWSC-HH-000002,NWSC-MEM-000002,Opio Kahuma,Opio Kahuma,1993-01-09,Male,"Plot 176, High Street, Kakiri Road, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Kakiri Road,PRIMARY,,Area/Branch Manager,District Operations Manager,Information & Business Solutions,TRUE
NWSC-MEM-000003,NWSC-HH-000003,NWSC-MEM-000003,Florence Kisembo,Florence Kisembo,2000-09-21,Female,"Plot 542, Station Road, Ntinda, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Ntinda,PRIMARY,,Professional/Officer,Civil Engineer,Kampala Water,TRUE
NWSC-MEM-000004,NWSC-HH-000004,NWSC-MEM-000004,James Katumba,James Katumba,1988-02-21,Male,"Plot 652, Market Street, Kakiri Road, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Kakiri Road,PRIMARY,,Area/Branch Manager,Area Manager,Kampala Water,TRUE
NWSC-MEM-000005,NWSC-HH-000005,NWSC-MEM-000005,Isaac Namutebi,Isaac Namutebi,1978-09-24,Male,"Plot 312, Spring Road, Bweyogerere, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Bweyogerere,PRIMARY,,Senior Director/Director,Director of Customer Services,Kampala Water,TRUE
NWSC-MEM-000006,NWSC-HH-000006,NWSC-MEM-000006,Nakato Wamala,Nakato Wamala,1994-02-07,Female,"Plot 239, Hill Road, Masulita, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Masulita,PRIMARY,,Professional/Officer,Human Resource Officer,Procurement & Stores,TRUE
NWSC-MEM-000007,NWSC-HH-000007,NWSC-MEM-000007,Ben Agaba,Ben Agaba,1986-04-16,Male,"Plot 487, Hospital Road, Buloba, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Buloba,PRIMARY,,Professional/Officer,IT Officer,Internal Audit,TRUE
NWSC-MEM-000008,NWSC-HH-000008,NWSC-MEM-000008,James Katumba,James Katumba,2002-04-16,Male,"Plot 144, Church Road, Kakiri Road, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Kakiri Road,PRIMARY,,Professional/Officer,Procurement Officer,Public Relations & Corporate Communications,TRUE
NWSC-MEM-000009,NWSC-HH-000009,NWSC-MEM-000009,Nakato Kagoya,Nakato Kagoya,2002-01-11,Female,"Plot 638, Lake View Road, Buloba, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Buloba,PRIMARY,,Professional/Officer,Human Resource Officer,Kampala Water,TRUE
NWSC-MEM-000010,NWSC-HH-000010,NWSC-MEM-000010,Okello Senyonga,Okello Senyonga,1995-10-20,Male,"Plot 70, Industrial Lane, Kyaliwajjala, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kyaliwajjala,PRIMARY,,Professional/Officer,Finance Officer,Legal Services,TRUE
