member_number,db_id,source_member_id,household_id,full_name,tier,relationship,seniority_level,job_title,organisation_unit,physical_address,region,district,nwsc_area,town_or_ward,onboarded_via
NWSC-2026-00255,nw221191652d093edc0993,NWSC-MEM-000001,NWSC-HH-000001,Moses Nsubuga,Officer,Principal,Professional/Officer,Procurement Officer,Kampala Water,"Plot 821, High Street, Namanve, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Namanve,DB
NWSC-2026-00256,nw8f0f3570469f10dd6a78,NWSC-MEM-000002,NWSC-HH-000002,Opio Kahuma,Management,Principal,Area/Branch Manager,District Operations Manager,Information & Business Solutions,"Plot 176, High Street, Kakiri Road, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Kakiri Road,DB
NWSC-2026-00257,nw5a7fa79d5137870ef32f,NWSC-MEM-000003,NWSC-HH-000003,Florence Kisembo,Officer,Principal,Professional/Officer,Civil Engineer,Kampala Water,"Plot 542, Station Road, Ntinda, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Ntinda,DB
NWSC-2026-00258,nwf0fe4658aa1a60a1f6f8,NWSC-MEM-000004,NWSC-HH-000004,James Katumba,Management,Principal,Area/Branch Manager,Area Manager,Kampala Water,"Plot 652, Market Street, Kakiri Road, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Kakiri Road,DB
NWSC-2026-00259,nwf7e75d6e405e8a61abd4,NWSC-MEM-000005,NWSC-HH-000005,Isaac Namutebi,Executive,Principal,Senior Director/Director,Director of Customer Services,Kampala Water,"Plot 312, Spring Road, Bweyogerere, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Bweyogerere,DB
NWSC-2026-00260,nw4b086434a86533ea5f9f,NWSC-MEM-000006,NWSC-HH-000006,Nakato Wamala,Officer,Principal,Professional/Officer,Human Resource Officer,Procurement & Stores,"Plot 239, Hill Road, Masulita, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Masulita,DB
NWSC-2026-00261,nw1f4e926d466870940334,NWSC-MEM-000007,NWSC-HH-000007,Ben Agaba,Officer,Principal,Professional/Officer,IT Officer,Internal Audit,"Plot 487, Hospital Road, Buloba, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Buloba,DB
NWSC-2026-00262,nwf3dbfa7ca4183e42f499,NWSC-MEM-000008,NWSC-HH-000008,James Katumba,Officer,Principal,Professional/Officer,Procurement Officer,Public Relations & Corporate Communications,"Plot 144, Church Road, Kakiri Road, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Kakiri Road,DB
NWSC-2026-00263,nw440e5ebd8c7a21c72276,NWSC-MEM-000009,NWSC-HH-000009,Nakato Kagoya,Officer,Principal,Professional/Officer,Human Resource Officer,Kampala Water,"Plot 638, Lake View Road, Buloba, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Buloba,DB
NWSC-2026-00252,cmr9525yv000404l2ktcjgenf,NWSC-MEM-000010,NWSC-HH-000010,Okello Senyonga,Officer,Principal,Professional/Officer,Finance Officer,Legal Services,"Plot 70, Industrial Lane, Kyaliwajjala, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kyaliwajjala,UI
NWSC-2026-00251,cmr9521ix000204l2er6mhkzq,NWSC-MEM-000011,NWSC-HH-000011,Achen Walusimbi,Staff,Principal,Field/Operations,Plant Operator,Engineering Services,"Plot 245, Mission Road, Najjeera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Najjeera,UI
NWSC-2026-00264,nwb2f795c94ec2659c7cbf,NWSC-MEM-000012,NWSC-HH-000012,John Alupo,Officer,Principal,Supervisor/Specialist,Water Quality Specialist,Technical Services,"Plot 211, Station Road, Kakiri Road, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Kakiri Road,DB
NWSC-2026-00265,nw8fe7fb7b8310b14babf9,NWSC-MEM-000013,NWSC-HH-000013,Godfrey Baluku,Management,Principal,Area/Branch Manager,Branch Manager,Legal Services,"Plot 673, Station Road, Kyaliwajjala, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kyaliwajjala,DB
NWSC-2026-00266,nwa3e569c613ee020923cb,NWSC-MEM-000014,NWSC-HH-000014,Grace Kiconco,Management,Principal,Area/Branch Manager,District Operations Manager,Information & Business Solutions,"Plot 337, Lake View Road, Kololo, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Kololo,DB
NWSC-2026-00267,nwbbe916dbe50f77848349,NWSC-MEM-000015,NWSC-HH-000015,Raymond Waiswa,Staff,Principal,Field/Operations,Meter Reader,Kampala Water,"Plot 408, Station Road, Namusera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Namusera,DB
NWSC-2026-00268,nwa5a7a77d2d280b1824f5,NWSC-MEM-000016,NWSC-HH-000016,Paul Mutebi,Officer,Principal,Supervisor/Specialist,Water Quality Specialist,Legal Services,"Plot 645, Council Road, Nakasero, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Nakasero,DB
NWSC-2026-00269,nw7903f2229aedc2383775,NWSC-MEM-000017,NWSC-HH-000017,Jackie Okot,Staff,Principal,Field/Operations,Meter Reader,Kampala Water,"Plot 690, School Lane, Kakiri Road, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Kakiri Road,DB
NWSC-2026-00270,nw9543ad92712ed2d335c9,NWSC-MEM-000018,NWSC-HH-000018,Francis Bukenya,Staff,Principal,Field/Operations,Plant Operator,Water Quality,"Plot 647, Station Road, Masulita, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Masulita,DB
NWSC-2026-00271,nw4117ad3b2769995764b5,NWSC-MEM-000019,NWSC-HH-000019,Rebecca Okello,Officer,Principal,Supervisor/Specialist,Projects Supervisor,Commercial & Customer Services,"Plot 178, Reservoir Road, Goma, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Goma,DB
NWSC-2026-00272,nw66089f3d5ce327f3a863,NWSC-MEM-000020,NWSC-HH-000020,Violet Laker,Officer,Principal,Professional/Officer,Civil Engineer,Human Resource,"Plot 815, Spring Road, Buloba, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Buloba,DB
NWSC-2026-00273,nwf64251946221e64e0990,NWSC-MEM-000021,NWSC-HH-000021,Collins Kakooza,Staff,Principal,Field/Operations,Pump Attendant,Commercial & Customer Services,"Plot 562, Lake View Road, Kazo, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Kazo,DB
NWSC-2026-00274,nw8da2580e671bd361ebf4,NWSC-MEM-000022,NWSC-HH-000022,Mary Kato,Management,Principal,Area/Branch Manager,Customer Service Manager,Kampala Water,"Plot 722, Commercial Street, Kira, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kira,DB
NWSC-2026-00275,nwa88fa9f1c9f1d1f52173,NWSC-MEM-000023,NWSC-HH-000023,Godfrey Nabirye,Officer,Principal,Professional/Officer,IT Officer,Kampala Water,"Plot 187, Hospital Road, Masulita, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Masulita,DB
